question,answers
"In the nursery rhyme, what description is given to 'Wednesday's Child'?",'FULL OF WOE'
What happened to 'Solomon Grundy' on a Saturday?,HE DIED
Where in the body would you find the 'Canal of Schlemm'?,IN THE EYE
What does the musical term 'Largo' mean?,BROADLY
What does the musical term 'Presto' mean?,VERY QUICK
"Sharing it with the surname of a well known football pundit, what is the SI unit of absorbed dose?",GRAY
"In the TV sit-com 'Red Dwarf', what was the name of the ship's mechanoid who befriended 'Dave Lister'?",'KRYTON'
Give a year in the life of physician William Harvey.,1578 to 1657
"""Which month in the French Revolutionary Calendar was equivalent to June and had a name meaning """"harvest""""?""",Messidor
"""In """"The Mikado"""" by Gilbert and Sullivan, what is the name of the Mikado's son who is disguised as a wandering minstrel?""",Nanki-poo
'The Five Pillars Of Faith' are part of which major religion?,ISLAM (Muslim)
Give a year in the life of Emile Zola?,1840 - 1902
"During World War I, what was the occupation of E.E. Cummings, Walt Disney, Ernest Hemmingway and Somerset Maugham?",AMBULANCE DRIVERS
"In Charles Kingsley's, 'The Water Babies', who made 'Tom' sweep chimneys?",'MR. GRIMES'
"In Kenneth Graham's book, 'The Wind In The Willows', what is the full name of 'Mr. Toad'?",'J. THADDEUS TOAD'
Give any year in the life of Thomas Gainsborough?,1727 - 1788
"In the nursery rhyme, what was used to bind 'Jack's' head after he had fallen down the hill?",'VINEGAR AND BROWN PAPER'
"On a menu, what does 'Au Poivre' mean?",WITH PEPPER
Which town in Cumbria is famous for its annual horse fair?,APPLEBY-IN- WESTMORLAND
"""Which famous poem begins with the line, """"Upon a midnight dreary, while I pondered weak and weary""""?""",'THE RAVEN' by Edgar Allen Poe
Which two colours appear on the flag of Bangladesh?,RED and GREEN
"In SWOT analysis used in business, for what does the 'S' stand?","STRENGTHS, Weaknesses, Opportunities, Threats"
"In the novel 'Brigit Jones' Diary', what is the first name of her boss?",'DANIEL' (Cleaver)
What does the musical term 'Crescendo' mean?,GRADUALLY INCREASING
"Soprano Helen Porter Mitchell was born in Richmond, a suburb of which Australian city, from which she took her stage name?",MELBOURNE (NELLIE MELBA)
"There were two Royal Navy mutinies in 1797, one at the Nore, where was the other?",Spithead
What did Chuck Yeager do with 'Glamorous Glennis' in October 1947?,Broke the sound barrier
How did poet Alexander Pushkin die in 1837?,In A Duel
"Trevor Eve played investigator Eddie Shoestring on television, which British film actor played the boss of the radio station he worked for?",Michael Medwin
Where was British Prime Minister Spencer Percival when he was assassinated in 1812?,A LOBBY OF THE HOUSE OF COMMONS
"In 'Thunderbirds', If 'Alan Tracy' was named after Alan Shepard and 'John Tacy' after John Glenn, after whom was 'Virgil Tracy' named?",VIRGIL 'GUS' GRISSOM
Give a year in the life of wood carver Grinling Gibbons?,1648 - 1721
"What was the title of Japp Stam’s autobiography, which led to his departure from Manchester United?",HEAD TO HEAD
In which year did Mohammed’s flight from Mecca to Medina take place?,622 AD
What was Charlie Drake's catchphrase?,HELLO MY DARLINGS
Give any year in the reign of Richard the Lionheart.,1189 To 1199
Which golfer is the captain of the European team in 2014 Ryder cup?,Paul McGinley
What was the name of the trail boss in TV series Rawhide?,Gil Favor
Who was the secretary and mistress of disgraced MP John Stonehouse?,Sheila Buckley
"""Who was the original wagon-master in the classic TV western series “Wagon Train""""?""",Major Seth Adams
In the Bible who was the husband of Ruth?,Boaz
"""Who wrote the poem """"The Highwayman""""?""",Alfred Noyes
Give a year in the life of Irish playwright and poet Richard Brinsley Sheridan.,1751-1816
"Who plays Brutus, a bar owner, in the recent BBC comedy Sun Trap?",Bradley Walsh
Complete the title of the recent BBC TV improvised comedy Murder in …?,Successville
"""Which product was advertised with the slogan """"Good to the last drop""""?""",COFFEE (Maxwell House)
"In Greek myth, into what creature did Artemis transform Actaeon?",STAG
Which animal is the subject of Edwin Landseer's famous painting 'Monarch Of The Glen'?,STAG
Name any year in Picasso's 'Blue Period'?,1901 - 1904
On which planet in our solar system would you find the Maxwell Montes mountains?,VENUS
Give a year in the life of Henry Purcell?,1659 - 1695
By what other name is the bird the apteryx known?,KIWI
"Before entering show business, what was the occupation of Leonard Rossiter?",INSURANCE CLERK
Give a year in the life of English printer William Caxton?,1422 - 1491
Who wrote the book Tarka The Otter?,Henry Williamson
The Jewish festival of Purim celebrates the story of which woman in the Bible?,Esther
On which ship did Doctor Crippen attempt to escape from Britain?,SS Montrose
Which female figure is the French equivalent of Britannia?,Marianne
Give any year in the life of the pirate captain William Kidd.,1645-1701
Who sang the theme for the Jams Bond film ‘Octopussy’?,Rita Coolidge
Oscuro is the darkest variety of which aromatic product?,Cigar Wrapper
"Which 2016 ‘reality’ T.V. competition was won on the 6th March by Ben Cohen, he was presented with the ‘prestigious’ Cow Bell Trophy?",The Jump
Which Australian psychedelic rock group won the Best International Group award and the 2016 Brit awards?,Tame Impala
Which birds make the saliva nests used in the Chinese delicacy bird’s nest soup?,(Cave) Swifts
What was the name of the fictional country in the Marx Brothers film 'Duck Soup'?,Freedonia
"""In Edwards Lear's The Owl and the Pussycat"""", how much did they pay the pig for his ring?""",One Shilling
Arthur Sugarman founded which clothing company in 1963 initially becoming fashionable for the mods?,Ben Sherman
Who took over from Ian Duncan Smith as Minister for Work and Pensions?,Stephen Crabb
Newport on the Isle of Wight stands on which river?,The Medina
Which England cricketer scored 258 against South Africa in the second test in January?,Ben Stokes
Which New Zealand Rugby player also has a professional boxing record of 7 wins 0 losses and 3 knockouts as a heavyweight professional boxer?,(Sonny-Bill) Williams
If a dress is a size 8 in the USA what size is it in the UK?,Size 12
Which was the first musical to be penned by Andrew Lloyd Webber and Tim Rice?,The Likes of Us
"""Which actress, born Henriette Kaminker in 1921, won an Oscar in 1960 for the film """"Room at the Top""""?""",Simone Signoret
"""Finish the proverb """"He is a fool who makes his doctor....""""?""",His Heir
Who hosts Radio 1 breakfast show?,Nick Grimshaw
What position does Amber Rudd hold in the Cabinet?,Secretary of State for Energy and Climate Change
Barbara Havers is the assistant to which Scotland Yard detective in the novels of Elizabeth George?,INSPECTOR THOMAS LYNLEY
Special stamps were issued on April 5th to mark which anniversary of the death of William Shakespeare?,400th
In the Famous Five stories by Enid Blyton which of the children owns Timmy the dog?,GEORGE (or GEORGINA)
Which word completes the title of the 1926 D H Lawrence novel - The ______ Serpent?,PLUMED
What is the last word of the fourth line of the hymn Hark! The Herald Angels Sing – the last word of the third line is ‘mild’?,RECONCILED
Which song title links a 1957 single release by Carl Perkins and a 1963 single by the Dave Clark Five?,Glad All Over
German engineer and architect Hermann Tilke is best known for his design of over 25 what around the world?,Motor Racing Circuits
"""Who directed this year's Cannes Palme D'or winning film """"I, Daniel Blake""""?""",(Ken)Loach
"Which Scottish woman, profoundly deaf from the age of 12, has become due to her 'sensing* the vibration of music, a noted solo percussionist? She studied at the London Royal Academy and appeared at the opening ceremony of the London 2012 Olympic Games?",(Dame Evelyn) Glennie
Who is the Chief Constable of the Greater Manchester Police Force?,Ian Hopkins
"""Currently on channel 4, """"Great Canal Journeys"""", is presented by which husband and wife?""",Timothy West and Prunella Scales
"Which French footballer, currently at Manchester United, won the Golden Boy Award, for the best Under 21 player in Europe in 2015?",Anthony Martial
"Which driver won the 2016 Spanish Grand Prix, the youngest ever winner of a Grand Prix?",Max Verstappen
The symbol for which SI derived unit is a letter from the Greek alphabet?,Ohm (Ω)
Give a year in the life of bandmaster and composer John Philip Sousa.,1854-1932
"What was the name of the Scottish theme park, on the Motherwell side of Strathclyde Park, where 9 people were injured after the ‘Tsunami’ roller coaster derailed on Sunday 26th June?",M & D’s
Which legendary rock band was formed in 1973 by brothers Angus and Malcolm Young?,AC/DC
Which TV chef had a dog called Chalky?,Rick Stein
At which racecourse is the Scottish Grand National run each April?,AYR
"According to the Bible, from which wood was the 'Ark Of The Covenant' built?",ACACIA WOOD
Which astronomic unit of measurement is equal to 3.26 light years?,PARSEC
"""What does the French phrase """"de rigueur"""" literally mean?""","""""""OF STRICTNESS"""""""
Who was the performing partner of Donald Swann?,Michael Flanders
"What product was advertised with the phrase 'Forces grey out, forces white in'?",FAIRY SNOW
By what first name is West Indian cricketer Chanderpaul known?,SHIVNARINE
Which artistic movement was founded in 1911 by Walter Sickert?,Camden Town Group
"""Who composed the title music to the film """"The Deerhunter""""?""",Stanley Myers
Which British unit of currency ceased to be legal tender on November 21st 1970?,Ten Shilling Note
Now in the Premier League who is the manager of Leicester City Football Club?,Nigel Pearson
In which BBC T.V. Programme do families consider staying in Britain or emigrating to Australia?,Wanted Down Under
Give either Christian name of the writer H.G Wells?,Herbert George
"Initially known as 'The Peter Jackson Tour', the golf tour that started in 1970 is now named after which country?",CANADA (Canadian Professional Golf Tour)
"Which US state has nicknames including 'The Cyclone State', 'The Land Of The Rolling Prairies' and 'The Hawkeye State'?",IOWA
"Edward V, Edward VI, and Elizabeth I were all unmarried. Who is the only other British monarch since 1066 to have never married?",WILLIAM II (William Rufus)
